Location,Address,Description,Phones,Mobiles,Fax,Contact,Email,Website
Angeles City,"Stall C Romivar Bldg., MacArthur Hwy. cor Romivar St., Balibago, Angeles City",Travel and tour services,"(63 45) 624-7966 / 624-7966
","0932-858-3583 / 0921-583-3328
",Missing,"Christine Mendoza - Owner
Phone ",the583immigration_angeles@yahoo.com,www.583travel.com
Tarlac City,"F. Tanedo St., Poblacion, Tarlac City",Travel and tours,"(63 45) 982-0844 / 0921-805-0844
",Missing,"(63 45) 982-0844
","Violeta Ocampo
Email 3ktravelandtours",3ktravelandtours@gmail.com,Missing
"Baliuag, Bulacan","Lot 2 Blk 17, Acacia St., Primavera Homes, Baliuag, Bulacan","Ticketing, visa assistance, documentation, passport assistance, tour packages","(63 44) 761-0318 / 673-8264 / 1657
",Missing,"(63 44) 766-7798 / 795-2157
","Josephine Jimenez
Email tresmariasvia",tresmariasvia@yahoo.com.ph,www.3sisterstravelandtours.webs.com
"Plaridel, Bulacan","2nd Floor, Waltermart, Plaridel, Bulacan","Ticketing, passporting, tour packaging","(63 44) 673-5021/670-1567/766-7798/795-2157
","0927-871-3732
",Missing,"Josephine Jimenez
Email tresmariasvia",tresmariasvia@yahoo.com.ph,www.3sisterstravelandtours.webs.com
Angeles City,"MacArthur Hwy., Telabastagan, City of San Fernando, Pampanga",Travel and tours,"(63 45) 636-6312 / 636-6472
",Missing,"(63 45) 636-6312
","Irish Calaguas
Email journey78thtravel",journey78thtravel@yahoo.com.ph,Missing
Nueva Ecija,"Maharlika Hwy., H. Concepcion, Cabanatuan City, Nueva Ecija",Travel and tours,"(63 44) 329-0503 / 022-865-4079
",Missing,Missing,"Ellen Fe Agapito
Email elffy_agapito",elffy_agapito@yahoo.com,www.abeetravels.com
"Plaridel, Bulacan","711 Morante Bldg. 2, Banga 1st, Plaridel, Bulacan","Domestic and international ticketing, domestic tour packages, passport assistance","(63 44) 670-2765 / 2102
",Missing,"(63 44) 670-2765
","Anamarie C. Romulo
Email acromulo_2004",acromulo_2004@yahoo.com,Missing
Angeles City,"Stall 44 Bayanihan Park, Fields Ave., Balibago, Angeles City","Travel and tours, visa assistance, passport, tour packages","(63 45) 892-5407
",Missing,"(63 45) 625-6357
","Shylle Echipare
Email action_travel",action_travel@hotmail.com,www.actiontravelac.com
"Talavera, Nueva Ecija","Maestrang Kikay District, Maharlika Hwy., Talavera, Nueva Ecija",Travel and tours,"(63 44) 806-3400
","0922-825-1263
",Missing,"Perlita S. Venturina - Manager
Phone ",adventurs_travel@yahoo.com,Missing
"Minalin, Pampanga","183 Maligaya St., Sta. Maria, Minalin, Pampanga",Travel and tours,"0917-802-0113 / 0917-501-8110
",Missing,Missing,"Jaylyn Bautista
Email airfairytravelandtours",airfairytravelandtours@yahoo.com,Missing
